Date,Open,High,Low,Close,Adj Close,Volume
2022-12-07,0.009758,0.022431,0.008640,0.020350,0.020350,716630
2022-12-08,0.020350,0.264914,0.015416,0.029237,0.029237,13807621
2022-12-09,0.029237,0.196895,0.028109,0.170911,0.170911,5270098
2022-12-10,0.170911,1.254307,0.021303,0.039266,0.039266,26391467
2022-12-11,0.039266,0.551347,0.016469,0.023328,0.023328,9357453
2022-12-12,0.023328,0.029100,0.014079,0.023604,0.023604,901092
2022-12-13,0.023405,0.031742,0.017644,0.020885,0.020885,528678
2022-12-14,0.020892,0.021030,0.015764,0.019879,0.019879,257892
2022-12-15,0.019896,0.019896,0.011367,0.012675,0.012675,507746
2022-12-16,0.012677,0.172139,0.012202,0.107290,0.107290,4697223
2022-12-17,0.107290,0.150630,0.011547,0.014276,0.014276,432335
2022-12-18,0.014191,0.015778,0.010265,0.013442,0.013442,167722
2022-12-19,0.013442,0.013572,0.007423,0.009666,0.009666,174096
2022-12-20,0.009666,0.010508,0.007195,0.007620,0.007620,118473
2022-12-21,0.007623,0.013689,0.007118,0.011028,0.011028,185535
2022-12-22,0.011033,0.013308,0.008887,0.010722,0.010722,120727
2022-12-23,0.010713,0.012968,0.009526,0.010689,0.010689,55069
2022-12-24,0.010686,0.012929,0.010185,0.011963,0.011963,47133
2022-12-25,0.011963,0.011973,0.008108,0.009432,0.009432,71739
2022-12-26,0.009440,0.010490,0.008755,0.010480,0.010480,28592
2022-12-27,0.010479,0.011310,0.008916,0.009123,0.009123,30529
2022-12-28,0.009122,0.009209,0.007492,0.008330,0.008330,30020
2022-12-29,0.008330,0.009095,0.006963,0.008437,0.008437,50328
2022-12-30,0.008437,0.009773,0.007439,0.008443,0.008443,41223
2022-12-31,0.008449,0.008542,0.006670,0.007541,0.007541,30484
2023-01-01,0.007546,0.009776,0.007432,0.008771,0.008771,41364
2023-01-02,0.008771,0.012646,0.008708,0.012143,0.012143,87480
2023-01-03,0.012138,0.014570,0.011488,0.013006,0.013006,59517
2023-01-04,0.013006,0.014339,0.008899,0.009933,0.009933,60274
2023-01-05,0.009928,0.013891,0.008278,0.010726,0.010726,82903
2023-01-06,0.010724,0.011726,0.007987,0.008440,0.008440,58817
2023-01-07,0.008445,0.009495,0.008295,0.008557,0.008557,29286
2023-01-08,0.008563,0.011981,0.008334,0.011189,0.011189,82253
